order_id,order_date,month,member_id,country,category,product,quantity,unit_price,total_sales
ORD-269430,2024-01-25,2024-01,5533,Australia,Electronics,Laptop,5,305.1,1525.5
ORD-672092,2024-01-01,2024-01,8239,Brazil,Automotive,Wiper,3,64.82,194.46
ORD-934794,2024-01-05,2024-01,1590,Japan,Sports,Running Shoes,6,30.5,183.0
ORD-918011,2024-01-08,2024-01,1653,Mexico,Sports,Water Bottle,6,336.8,2020.8
ORD-532322,2024-01-08,2024-01,7658,Sweden,Office Supplies,Stapler,3,433.66,1300.98
ORD-379766,2024-01-14,2024-01,1406,Spain,Food,Rice,4,81.21,324.84
ORD-309267,2024-01-02,2024-01,3608,Netherlands,Clothing,Shorts,4,430.71,1722.84
ORD-124813,2024-01-26,2024-01,8541,Netherlands,Sports,Tennis Racket,4,436.95,1747.8
ORD-468203,2024-01-28,2024-01,4164,France,Toys,Card Game,5,44.02,220.1
ORD-287241,2024-01-04,2024-01,9346,USA,Toys,Card Game,5,439.75,2198.75
ORD-557592,2024-01-14,2024-01,5349,India,Electronics,Smartphone,6,724.09,4344.54
ORD-843215,2024-01-19,2024-01,9379,Sweden,Clothing,Shorts,1,103.14,103.14
ORD-753425,2024-01-14,2024-01,8144,Australia,Electronics,Headphones,6,186.45,1118.7
ORD-521947,2024-01-10,2024-01,6143,Brazil,Clothing,Dress,6,336.78,2020.68
ORD-810219,2024-01-14,2024-01,5844,Germany,Automotive,Air Freshener,7,335.82,2350.74
ORD-400850,2024-01-18,2024-01,3851,Japan,Office Supplies,Whiteboard,5,418.53,2092.65
ORD-636004,2024-01-15,2024-01,4443,China,Toys,Card Game,4,226.66,906.64
ORD-451470,2024-01-17,2024-01,8752,France,Food,Green Tea,10,68.07,680.7
ORD-148458,2024-01-26,2024-01,2530,Germany,Books,Comic,1,107.57,107.57
ORD-303880,2024-01-14,2024-01,5011,China,Beauty,Shampoo,10,444.21,4442.1
ORD-887443,2024-01-05,2024-01,7291,Germany,Beauty,Nail Polish,1,331.47,331.47
ORD-587115,2024-01-26,2024-01,2746,UK,Toys,Action Figure,9,479.4,4314.6
ORD-940346,2024-01-28,2024-01,1822,Sweden,Automotive,Seat Cover,3,69.47,208.41
ORD-547470,2024-01-15,2024-01,8612,Spain,Automotive,Phone Mount,9,310.2,2791.8
ORD-888295,2024-01-28,2024-01,9976,Italy,Beauty,Perfume,5,242.59,1212.95
ORD-848206,2024-01-08,2024-01,5050,Mexico,Home & Garden,Clock,2,144.55,289.1
ORD-245095,2024-01-11,2024-01,5681,Australia,Books,Comic,2,447.58,895.16
ORD-535020,2024-01-05,2024-01,3471,Italy,Books,Travel Guide,2,356.15,712.3
ORD-508396,2024-01-02,2024-01,7678,Japan,Sports,Jump Rope,7,111.35,779.45
ORD-890075,2024-01-01,2024-01,1320,China,Office Supplies,Sticky Notes,5,471.94,2359.7
ORD-130434,2024-01-08,2024-01,7389,China,Toys,Action Figure,8,143.74,1149.92
ORD-752483,2024-01-06,2024-01,7371,Italy,Sports,Bicycle Helmet,3,421.85,1265.55
ORD-773971,2024-01-19,2024-01,9751,India,Electronics,Keyboard,2,1342.85,2685.7
ORD-321941,2024-01-02,2024-01,8022,UK,Food,Chocolate,6,29.71,178.26
ORD-364525,2024-01-13,2024-01,8449,Spain,Sports,Basketball,7,146.35,1024.45
ORD-335113,2024-01-18,2024-01,2341,Italy,Beauty,Moisturizer,6,35.52,213.12
ORD-259784,2024-01-07,2024-01,2124,Germany,Electronics,Laptop,10,1686.5,16865.0
ORD-587623,2024-01-04,2024-01,4908,Mexico,Food,Chocolate,4,58.58,234.32
ORD-915573,2024-01-20,2024-01,5198,India,Sports,Running Shoes,2,482.23,964.46
ORD-810250,2024-01-01,2024-01,3683,India,Home & Garden,Candle,10,465.15,4651.5
ORD-206851,2024-01-19,2024-01,7149,Canada,Toys,Action Figure,4,348.4,1393.6
ORD-658623,2024-01-19,2024-01,5941,Spain,Office Supplies,Notebook,6,393.49,2360.94
ORD-962276,2024-01-21,2024-01,8018,Brazil,Sports,Dumbbells,7,177.2,1240.4
ORD-841666,2024-01-21,2024-01,9031,Australia,Clothing,Shorts,8,446.87,3574.96
ORD-745830,2024-01-17,2024-01,3506,Italy,Toys,Lego Set,5,483.08,2415.4
ORD-437960,2024-01-27,2024-01,9817,Japan,Beauty,Brush Set,5,368.2,1841.0
ORD-697530,2024-01-15,2024-01,5022,Sweden,Clothing,Dress,8,129.49,1035.92
ORD-322423,2024-01-28,2024-01,7209,China,Sports,Yoga Mat,8,169.26,1354.08
ORD-682789,2024-01-20,2024-01,6813,France,Home & Garden,Cushion,5,353.58,1767.9
ORD-682144,2024-01-08,2024-01,1166,Canada,Automotive,Seat Cover,8,362.84,2902.72
ORD-332360,2024-01-26,2024-01,4937,China,Beauty,Brush Set,5,18.45,92.25
ORD-656711,2024-01-19,2024-01,7625,Mexico,Books,Comic,9,190.82,1717.38
ORD-363615,2024-01-23,2024-01,6632,Australia,Toys,Card Game,5,232.34,1161.7
ORD-300845,2024-01-04,2024-01,4777,Australia,Clothing,Sneakers,3,374.01,1122.03
ORD-725780,2024-01-19,2024-01,4545,Italy,Beauty,Sunscreen,9,488.54,4396.86
ORD-114835,2024-01-08,2024-01,5636,France,Clothing,Sneakers,5,186.83,934.15
ORD-768854,2024-01-02,2024-01,9751,USA,Food,Pasta,3,57.57,172.71
ORD-457256,2024-01-10,2024-01,9042,India,Clothing,T-Shirt,8,240.0,1920.0
ORD-520172,2024-01-16,2024-01,4020,Netherlands,Electronics,Camera,2,272.47,544.94
ORD-189318,2024-01-05,2024-01,9056,UK,Clothing,T-Shirt,5,407.46,2037.3
ORD-913373,2024-01-20,2024-01,5066,India,Clothing,Shorts,4,397.46,1589.84
ORD-549660,2024-01-15,2024-01,9561,Sweden,Toys,Art Set,10,155.7,1557.0
ORD-755900,2024-01-24,2024-01,6003,India,Office Supplies,Pen,4,58.62,234.48
ORD-264136,2024-01-08,2024-01,4457,UK,Home & Garden,Candle,2,95.17,190.34
ORD-342720,2024-01-20,2024-01,1043,Italy,Toys,Art Set,1,240.26,240.26
ORD-926097,2024-01-22,2024-01,5720,Canada,Home & Garden,Clock,5,124.38,621.9
ORD-966785,2024-01-08,2024-01,4241,Brazil,Toys,Puzzle,5,327.34,1636.7
ORD-402630,2024-01-26,2024-01,3330,UK,Clothing,T-Shirt,10,160.73,1607.3
ORD-624783,2024-01-10,2024-01,8195,Italy,Clothing,Scarf,5,352.87,1764.35
ORD-870214,2024-01-20,2024-01,9847,Canada,Beauty,Brush Set,7,29.53,206.71
ORD-715643,2024-01-03,2024-01,6280,USA,Office Supplies,Whiteboard,10,122.17,1221.7
ORD-783157,2024-01-25,2024-01,1339,Spain,Home & Garden,Plant Pot,9,95.84,862.56
ORD-195674,2024-01-14,2024-01,8245,India,Home & Garden,Throw Blanket,8,321.04,2568.32
ORD-445824,2024-01-11,2024-01,8700,Australia,Sports,Bicycle Helmet,3,338.37,1015.11
ORD-138479,2024-01-13,2024-01,7744,Mexico,Beauty,Sunscreen,9,408.65,3677.85
ORD-639593,2024-01-11,2024-01,8451,France,Clothing,Hoodie,7,66.8,467.6
ORD-752878,2024-01-02,2024-01,1018,Japan,Automotive,Oil Filter,6,101.92,611.52
ORD-559398,2024-01-09,2024-01,9167,Germany,Beauty,Moisturizer,5,279.12,1395.6
ORD-425845,2024-01-20,2024-01,8941,Mexico,Clothing,T-Shirt,3,401.66,1204.98
ORD-583863,2024-01-08,2024-01,1224,Canada,Automotive,Wiper,2,496.21,992.42
ORD-535673,2024-01-23,2024-01,2924,Sweden,Food,Chocolate,5,32.73,163.65
ORD-728492,2024-01-18,2024-01,8905,China,Beauty,Lipstick,4,80.87,323.48
ORD-456385,2024-01-25,2024-01,9327,France,Food,Green Tea,7,80.05,560.35
ORD-708093,2024-01-24,2024-01,9318,France,Home & Garden,Plant Pot,10,156.29,1562.9
ORD-899929,2024-01-16,2024-01,9022,Brazil,Food,Chocolate,9,37.79,340.11
ORD-699573,2024-01-11,2024-01,9903,Sweden,Toys,Art Set,4,436.1,1744.4
ORD-504832,2024-01-11,2024-01,7274,USA,Books,Travel Guide,7,374.91,2624.37
ORD-205239,2024-01-17,2024-01,3492,UK,Beauty,Moisturizer,6,483.02,2898.12
ORD-178463,2024-01-24,2024-01,8213,USA,Clothing,Scarf,3,80.64,241.92
ORD-993140,2024-01-23,2024-01,8692,India,Home & Garden,Cushion,2,204.77,409.54
ORD-667296,2024-01-21,2024-01,6383,Australia,Automotive,Wiper,8,362.17,2897.36
ORD-338536,2024-01-21,2024-01,1588,Germany,Office Supplies,Notebook,5,345.36,1726.8
ORD-565230,2024-01-21,2024-01,2480,Spain,Toys,Puzzle,2,354.91,709.82
ORD-475876,2024-01-11,2024-01,3725,USA,Home & Garden,Plant Pot,5,400.11,2000.55
ORD-278240,2024-01-17,2024-01,7141,Germany,Toys,Lego Set,3,211.91,635.73
ORD-250069,2024-01-22,2024-01,3868,India,Clothing,Shorts,10,128.01,1280.1
ORD-401603,2024-01-09,2024-01,4804,China,Beauty,Sunscreen,8,336.75,2694.0
ORD-769975,2024-01-12,2024-01,9955,China,Food,Green Tea,5,98.83,494.15
ORD-994787,2024-01-10,2024-01,7951,Netherlands,Home & Garden,Clock,7,107.62,753.34
ORD-833247,2024-01-19,2024-01,8916,Japan,Clothing,Sneakers,5,185.89,929.45
ORD-735863,2024-01-01,2024-01,5837,France,Electronics,Keyboard,1,1153.56,1153.56
ORD-751051,2024-01-26,2024-01,9138,India,Home & Garden,Vase,4,182.64,730.56
ORD-926918,2024-01-21,2024-01,5106,Sweden,Food,Green Tea,5,66.4,332.0
ORD-442589,2024-01-05,2024-01,8222,Italy,Electronics,Monitor,5,225.76,1128.8
ORD-656639,2024-01-26,2024-01,7807,UK,Food,Olive Oil,6,56.24,337.44
ORD-882824,2024-01-27,2024-01,9221,France,Home & Garden,Throw Blanket,5,472.65,2363.25
ORD-809176,2024-01-05,2024-01,6549,Canada,Clothing,Scarf,4,379.53,1518.12
ORD-662636,2024-01-26,2024-01,7511,Canada,Automotive,Phone Mount,5,203.34,1016.7
ORD-499534,2024-01-24,2024-01,3024,Mexico,Beauty,Face Mask,10,339.45,3394.5
ORD-443939,2024-01-01,2024-01,7086,China,Clothing,Sneakers,9,313.58,2822.22
ORD-222343,2024-01-23,2024-01,4626,Sweden,Clothing,Scarf,7,158.07,1106.49
ORD-663658,2024-01-16,2024-01,3290,France,Electronics,Laptop,4,276.43,1105.72
ORD-539486,2024-01-22,2024-01,3222,Australia,Toys,Art Set,9,475.2,4276.8
ORD-134305,2024-01-16,2024-01,3531,Netherlands,Toys,Puzzle,5,311.67,1558.35
ORD-818987,2024-01-08,2024-01,7070,China,Books,Journal,2,429.17,858.34
ORD-989227,2024-01-13,2024-01,7018,USA,Automotive,Phone Mount,2,145.18,290.36
ORD-153035,2024-01-21,2024-01,8450,Mexico,Clothing,Sneakers,1,302.6,302.6
ORD-317220,2024-01-19,2024-01,6464,Spain,Books,Cookbook,9,110.55,994.95
ORD-102973,2024-01-05,2024-01,4538,Spain,Books,Dictionary,10,396.44,3964.4
ORD-793169,2024-01-09,2024-01,5542,Brazil,Food,Honey,2,80.86,161.72
ORD-439498,2024-01-26,2024-01,1422,Australia,Food,Organic Coffee,10,79.9,799.0
ORD-219169,2024-01-05,2024-01,1258,USA,Food,Pasta,9,75.46,679.14
ORD-573962,2024-01-12,2024-01,2041,Spain,Beauty,Brush Set,2,261.49,522.98
ORD-416282,2024-01-26,2024-01,9254,Italy,Books,Novel,9,455.29,4097.61
ORD-614084,2024-01-28,2024-01,8504,China,Electronics,Laptop,2,833.15,1666.3
ORD-388375,2024-01-20,2024-01,8267,Australia,Clothing,Jeans,3,82.68,248.04
ORD-734836,2024-01-17,2024-01,9984,India,Sports,Bicycle Helmet,9,154.5,1390.5
ORD-855855,2024-01-21,2024-01,8048,Netherlands,Clothing,Jeans,9,328.95,2960.55
ORD-518098,2024-01-08,2024-01,4522,Sweden,Toys,Art Set,8,212.77,1702.16
ORD-260053,2024-01-11,2024-01,7815,Japan,Clothing,Hoodie,6,335.9,2015.4
ORD-880758,2024-01-03,2024-01,8770,Netherlands,Clothing,Jeans,2,55.68,111.36
ORD-530764,2024-01-18,2024-01,7105,India,Food,Organic Coffee,2,58.36,116.72
ORD-705991,2024-01-20,2024-01,6793,France,Toys,Board Game,2,163.1,326.2
ORD-467121,2024-01-16,2024-01,9313,Mexico,Books,Cookbook,2,119.88,239.76
ORD-904711,2024-01-08,2024-01,7022,India,Clothing,Dress,9,405.54,3649.86
ORD-456331,2024-01-06,2024-01,1430,USA,Office Supplies,Whiteboard,5,143.9,719.5
ORD-172965,2024-01-05,2024-01,6751,Netherlands,Electronics,Tablet,7,1154.33,8080.31
ORD-575682,2024-01-17,2024-01,3324,Italy,Electronics,Smartphone,7,469.51,3286.57
ORD-725185,2024-01-24,2024-01,6585,France,Food,Rice,10,35.82,358.2
ORD-385320,2024-01-25,2024-01,2391,UK,Electronics,Tablet,2,1254.78,2509.56
ORD-891615,2024-01-15,2024-01,8259,India,Toys,Art Set,4,212.95,851.8
ORD-610271,2024-01-04,2024-01,9394,Japan,Clothing,Hoodie,10,148.79,1487.9
ORD-108060,2024-01-13,2024-01,9633,Germany,Home & Garden,Plant Pot,1,492.38,492.38
ORD-444061,2024-01-05,2024-01,4349,Spain,Home & Garden,Vase,5,384.44,1922.2
ORD-658453,2024-01-14,2024-01,2965,Italy,Electronics,Mouse,7,392.6,2748.2
ORD-557409,2024-01-13,2024-01,4770,Canada,Automotive,Phone Mount,1,432.26,432.26
ORD-524068,2024-01-11,2024-01,1307,Netherlands,Beauty,Shampoo,10,292.12,2921.2
ORD-940247,2024-01-01,2024-01,7843,Japan,Home & Garden,Candle,3,483.44,1450.32
ORD-717476,2024-01-28,2024-01,8538,Japan,Sports,Dumbbells,7,61.87,433.09
ORD-332335,2024-01-28,2024-01,7560,Japan,Automotive,Dash Camera,6,162.03,972.18
ORD-303322,2024-01-21,2024-01,6456,Brazil,Food,Green Tea,9,15.83,142.47
ORD-281926,2024-01-04,2024-01,6724,Germany,Sports,Running Shoes,4,81.76,327.04
ORD-896788,2024-01-21,2024-01,3504,Spain,Clothing,Jacket,10,252.12,2521.2
ORD-171603,2024-01-21,2024-01,8354,Netherlands,Office Supplies,Desk Organizer,8,164.91,1319.28
ORD-631981,2024-01-09,2024-01,8682,Spain,Beauty,Sunscreen,6,299.8,1798.8
ORD-180458,2024-01-02,2024-01,2215,China,Home & Garden,Clock,5,37.88,189.4
ORD-571579,2024-01-19,2024-01,2479,China,Office Supplies,Sticky Notes,1,281.62,281.62
ORD-208529,2024-01-05,2024-01,4084,Brazil,Sports,Jump Rope,8,479.28,3834.24
ORD-649525,2024-01-08,2024-01,6626,USA,Clothing,Jacket,8,356.73,2853.84
ORD-528625,2024-01-12,2024-01,9564,Australia,Office Supplies,Stapler,7,459.79,3218.53
ORD-445705,2024-01-21,2024-01,6543,Spain,Office Supplies,Pen,2,327.18,654.36
ORD-257677,2024-01-09,2024-01,2548,France,Automotive,Wiper,10,364.63,3646.3
ORD-235215,2024-01-12,2024-01,6461,Sweden,Clothing,Jacket,7,162.01,1134.07
ORD-802667,2024-01-26,2024-01,2388,Mexico,Home & Garden,Lamp,3,170.95,512.85
ORD-289019,2024-01-12,2024-01,9624,Brazil,Clothing,Shorts,5,18.93,94.65
ORD-180913,2024-01-08,2024-01,4509,Germany,Sports,Jump Rope,3,499.99,1499.97
ORD-237414,2024-01-11,2024-01,5846,Mexico,Clothing,T-Shirt,10,439.43,4394.3
ORD-948343,2024-01-27,2024-01,7172,UK,Food,Honey,10,70.82,708.2
ORD-565776,2024-01-12,2024-01,3712,Japan,Beauty,Moisturizer,4,341.42,1365.68
ORD-975679,2024-01-08,2024-01,5668,Brazil,Beauty,Lipstick,8,161.64,1293.12
ORD-627335,2024-01-25,2024-01,4178,China,Sports,Jump Rope,7,148.07,1036.49
ORD-362147,2024-01-07,2024-01,9641,Netherlands,Toys,Lego Set,3,402.62,1207.86
ORD-992512,2024-01-04,2024-01,1854,Brazil,Beauty,Face Mask,9,358.59,3227.31
ORD-254506,2024-01-06,2024-01,3042,Spain,Home & Garden,Candle,9,143.67,1293.03
ORD-535050,2024-01-15,2024-01,8167,Netherlands,Clothing,Sneakers,1,443.47,443.47
ORD-335445,2024-01-13,2024-01,1872,Germany,Toys,Card Game,6,497.32,2983.92
ORD-244283,2024-01-23,2024-01,1461,Netherlands,Sports,Dumbbells,3,328.48,985.44
ORD-570392,2024-01-27,2024-01,1627,Italy,Home & Garden,Clock,8,78.01,624.08
ORD-862560,2024-01-07,2024-01,1086,France,Clothing,T-Shirt,9,419.13,3772.17
ORD-150068,2024-01-10,2024-01,9647,Spain,Toys,Puzzle,2,126.44,252.88
ORD-725726,2024-01-04,2024-01,4906,Canada,Toys,Art Set,8,419.98,3359.84
ORD-744674,2024-01-05,2024-01,9782,Italy,Electronics,Headphones,1,617.98,617.98
ORD-478120,2024-01-22,2024-01,6780,UK,Books,Travel Guide,9,337.43,3036.87
ORD-491435,2024-01-28,2024-01,2108,Japan,Automotive,Car Charger,7,240.37,1682.59
ORD-908977,2024-01-03,2024-01,5155,Spain,Electronics,Monitor,2,722.36,1444.72
ORD-970720,2024-01-18,2024-01,6447,Australia,Food,Organic Coffee,3,37.16,111.48
ORD-138780,2024-01-05,2024-01,8612,Spain,Beauty,Perfume,8,40.92,327.36
ORD-425138,2024-01-07,2024-01,5807,Spain,Books,Novel,6,444.04,2664.24
ORD-400009,2024-01-02,2024-01,9444,France,Toys,Art Set,4,379.11,1516.44
ORD-519453,2024-01-04,2024-01,6848,France,Electronics,Monitor,7,1608.72,11261.04
ORD-936020,2024-01-16,2024-01,8204,UK,Toys,Card Game,6,349.11,2094.66
ORD-962287,2024-01-14,2024-01,9507,Italy,Home & Garden,Candle,10,48.67,486.7
ORD-421384,2024-01-04,2024-01,3956,Australia,Automotive,Floor Mat,5,49.23,246.15
ORD-144412,2024-01-23,2024-01,8305,UK,Office Supplies,Sticky Notes,8,227.52,1820.16
ORD-178686,2024-01-21,2024-01,6776,France,Office Supplies,Sticky Notes,1,490.21,490.21
ORD-136489,2024-01-05,2024-01,7655,USA,Sports,Running Shoes,8,425.85,3406.8
ORD-694799,2024-01-21,2024-01,3068,Spain,Clothing,Sneakers,7,189.5,1326.5
ORD-565504,2024-01-15,2024-01,1530,Mexico,Office Supplies,Stapler,6,474.92,2849.52
ORD-361736,2024-01-12,2024-01,2259,Brazil,Office Supplies,Stapler,5,205.04,1025.2
ORD-223481,2024-01-17,2024-01,2858,China,Electronics,Tablet,9,804.63,7241.67
ORD-309902,2024-01-20,2024-01,5288,Germany,Home & Garden,Clock,8,149.93,1199.44
ORD-192055,2024-01-06,2024-01,3009,China,Food,Green Tea,8,90.37,722.96
ORD-992717,2024-01-18,2024-01,6236,Brazil,Sports,Dumbbells,5,152.28,761.4
ORD-930541,2024-01-08,2024-01,3580,Brazil,Food,Rice,4,16.53,66.12
ORD-590110,2024-01-12,2024-01,3275,USA,Books,Journal,6,281.47,1688.82
ORD-651231,2024-01-10,2024-01,3126,Canada,Office Supplies,Notebook,8,205.1,1640.8
ORD-588461,2024-01-11,2024-01,7730,UK,Toys,Puzzle,8,324.75,2598.0
ORD-290802,2024-01-27,2024-01,9476,Sweden,Sports,Running Shoes,10,392.33,3923.3
ORD-272655,2024-01-04,2024-01,3114,Netherlands,Toys,Board Game,5,263.87,1319.35
ORD-362778,2024-01-17,2024-01,3653,Australia,Sports,Water Bottle,2,448.51,897.02
ORD-197966,2024-01-21,2024-01,4216,UK,Automotive,Floor Mat,9,158.38,1425.42
ORD-454019,2024-01-22,2024-01,9234,UK,Food,Honey,10,64.33,643.3
ORD-782759,2024-01-21,2024-01,1674,USA,Electronics,Smartphone,5,1553.49,7767.45
ORD-403742,2024-01-21,2024-01,4453,India,Office Supplies,Sticky Notes,9,24.84,223.56
ORD-575575,2024-01-26,2024-01,5949,Spain,Beauty,Lipstick,5,345.65,1728.25
ORD-456717,2024-01-14,2024-01,2195,China,Electronics,Tablet,4,994.29,3977.16
ORD-237118,2024-01-28,2024-01,3353,Italy,Sports,Basketball,7,179.23,1254.61
ORD-571435,2024-01-08,2024-01,7070,Australia,Automotive,Dash Camera,5,238.57,1192.85
ORD-538446,2024-01-10,2024-01,5061,USA,Food,Green Tea,10,94.81,948.1
ORD-900190,2024-01-19,2024-01,5067,Sweden,Food,Rice,4,73.51,294.04
ORD-512344,2024-01-10,2024-01,3610,China,Beauty,Brush Set,2,253.71,507.42
ORD-395023,2024-01-19,2024-01,9281,Germany,Beauty,Lipstick,1,182.92,182.92
ORD-551860,2024-01-18,2024-01,9108,France,Office Supplies,Envelope,2,14.01,28.02
ORD-153642,2024-01-13,2024-01,3194,Spain,Home & Garden,Cushion,7,189.31,1325.17
ORD-393308,2024-01-13,2024-01,4189,Canada,Sports,Tennis Racket,9,257.09,2313.81
ORD-684929,2024-01-12,2024-01,2946,Japan,Food,Green Tea,6,80.52,483.12
ORD-147504,2024-01-17,2024-01,6990,India,Food,Olive Oil,1,43.13,43.13
ORD-735710,2024-01-16,2024-01,1637,Spain,Food,Rice,3,54.34,163.02
ORD-746447,2024-01-20,2024-01,9446,Sweden,Food,Rice,7,35.26,246.82
ORD-843167,2024-01-27,2024-01,5902,Brazil,Office Supplies,Desk Organizer,8,259.76,2078.08
ORD-712056,2024-01-11,2024-01,5911,Australia,Beauty,Moisturizer,7,340.17,2381.19
ORD-705693,2024-01-21,2024-01,6040,France,Electronics,Mouse,10,1576.66,15766.6
ORD-912233,2024-01-17,2024-01,4728,UK,Electronics,Mouse,10,1276.6,12766.0
ORD-300051,2024-01-19,2024-01,7229,USA,Food,Olive Oil,2,95.08,190.16
ORD-530311,2024-01-05,2024-01,1310,Japan,Beauty,Face Mask,4,212.35,849.4
ORD-840058,2024-01-28,2024-01,9221,Netherlands,Office Supplies,Envelope,1,370.56,370.56
ORD-651002,2024-01-11,2024-01,3262,Brazil,Automotive,Seat Cover,8,499.08,3992.64
ORD-808699,2024-01-18,2024-01,7173,China,Sports,Running Shoes,6,177.74,1066.44
ORD-335790,2024-01-08,2024-01,5331,Germany,Office Supplies,Envelope,5,146.71,733.55
ORD-465746,2024-01-23,2024-01,5876,Italy,Home & Garden,Vase,8,249.61,1996.88
ORD-958130,2024-01-22,2024-01,5480,India,Home & Garden,Candle,7,276.16,1933.12
ORD-463188,2024-01-10,2024-01,6654,USA,Food,Pasta,2,95.75,191.5
ORD-689318,2024-01-07,2024-01,8247,Germany,Home & Garden,Clock,5,415.7,2078.5
ORD-153231,2024-01-24,2024-01,5450,India,Food,Green Tea,4,60.75,243.0
ORD-205428,2024-01-04,2024-01,9700,USA,Books,Biography,8,212.52,1700.16
ORD-600641,2024-01-21,2024-01,3252,Japan,Electronics,Tablet,8,1873.31,14986.48
ORD-783984,2024-01-21,2024-01,4267,France,Home & Garden,Cushion,2,38.99,77.98
ORD-138105,2024-01-06,2024-01,4804,Sweden,Automotive,Car Charger,3,214.76,644.28
ORD-732063,2024-01-02,2024-01,9116,Sweden,Food,Pasta,10,5.88,58.8
ORD-240718,2024-01-21,2024-01,2758,China,Sports,Tennis Racket,8,276.22,2209.76
ORD-866634,2024-01-26,2024-01,9261,Germany,Beauty,Sunscreen,3,65.2,195.6
